,price_type,metric_code,study_number,location_type,adjustment_index,adjusted,sale_type,frequency,date,rand_millions,datetime
0,Current prices,A64201,P6420,Restaurants and coffee shops,,Actual figures,food,MONTHLY,08-2005,933.1,2005-08-01
1,Current prices,B64201,P6420,Restaurants and coffee shops,,Actual figures,bar,MONTHLY,08-2005,133.9,2005-08-01
2,Current prices,C64201,P6420,Restaurants and coffee shops,,Actual figures,other,MONTHLY,08-2005,14.6,2005-08-01
3,Current prices,D64201,P6420,Restaurants and coffee shops,,Actual figures,total,MONTHLY,08-2005,1081.6,2005-08-01
4,Current prices,A64203,P6420,Take-away and fast food,,Actual figures,food,MONTHLY,08-2005,443.2,2005-08-01
5,Current prices,B64203,P6420,Take-away and fast food,,Actual figures,bar,MONTHLY,08-2005,1.5,2005-08-01
6,Current prices,C64203,P6420,Take-away and fast food,,Actual figures,other,MONTHLY,08-2005,0.2,2005-08-01
7,Current prices,D64203,P6420,Take-away and fast food,,Actual figures,total,MONTHLY,08-2005,444.9,2005-08-01
8,Current prices,A64209,P6420,Catering,,Actual figures,food,MONTHLY,08-2005,354.2,2005-08-01
9,Current prices,B64209,P6420,Catering,,Actual figures,bar,MONTHLY,08-2005,45.6,2005-08-01
10,Current prices,C64209,P6420,Catering,,Actual figures,other,MONTHLY,08-2005,58.6,2005-08-01
11,Current prices,D64209,P6420,Catering,,Actual figures,total,MONTHLY,08-2005,458.4,2005-08-01
12,Current prices,A64200,P6420,Total industry,,Actual figures,food,MONTHLY,08-2005,1730.5,2005-08-01
13,Current prices,B64200,P6420,Total industry,,Actual figures,bar,MONTHLY,08-2005,181.0,2005-08-01
14,Current prices,C64200,P6420,Total industry,,Actual figures,other,MONTHLY,08-2005,73.4,2005-08-01
15,Current prices,D64200,P6420,Total industry,,Actual figures,total,MONTHLY,08-2005,1984.9,2005-08-01
16,Constant prices,A64201_CON,P6420,Restaurants and coffee shops,2015 = 100,Actual figures,food,MONTHLY,08-2005,,2005-08-01
17,Constant prices,B64201_CON,P6420,Restaurants and coffee shops,2015 = 100,Actual figures,bar,MONTHLY,08-2005,,2005-08-01
18,Constant prices,C64201_CON,P6420,Restaurants and coffee shops,2015 = 100,Actual figures,other,MONTHLY,08-2005,,2005-08-01
19,Constant prices,D64201_CON,P6420,Restaurants and coffee shops,2015 = 100,Actual figures,total,MONTHLY,08-2005,,2005-08-01
20,Constant prices,A64203_CON,P6420,Take-away and fast food,2015 = 100,Actual figures,food,MONTHLY,08-2005,,2005-08-01
21,Constant prices,B64203_CON,P6420,Take-away and fast food,2015 = 100,Actual figures,bar,MONTHLY,08-2005,,2005-08-01
22,Constant prices,C64203_CON,P6420,Take-away and fast food,2015 = 100,Actual figures,other,MONTHLY,08-2005,,2005-08-01
23,Constant prices,D64203_CON,P6420,Take-away and fast food,2015 = 100,Actual figures,total,MONTHLY,08-2005,,2005-08-01
24,Constant prices,A64209_CON,P6420,Catering,2015 = 100,Actual figures,food,MONTHLY,08-2005,,2005-08-01
25,Constant prices,B64209_CON,P6420,Catering,2015 = 100,Actual figures,bar,MONTHLY,08-2005,,2005-08-01
26,Constant prices,C64209_CON,P6420,Catering,2015 = 100,Actual figures,other,MONTHLY,08-2005,,2005-08-01
27,Constant prices,D64209_CON,P6420,Catering,2015 = 100,Actual figures,total,MONTHLY,08-2005,,2005-08-01
28,Constant prices,A64200_CON,P6420,Total industry,2015 = 100,Actual figures,food,MONTHLY,08-2005,,2005-08-01
29,Constant prices,B64200_CON,P6420,Total industry,2015 = 100,Actual figures,bar,MONTHLY,08-2005,,2005-08-01
30,Constant prices,C64200_CON,P6420,Total industry,2015 = 100,Actual figures,other,MONTHLY,08-2005,,2005-08-01
31,Constant prices,D64200_CON,P6420,Total industry,2015 = 100,Actual figures,total,MONTHLY,08-2005,,2005-08-01
32,Current prices,A64201_SEAS,P6420,Restaurants and coffee shops,,Seasonally adjusted,food,MONTHLY,08-2005,992.0,2005-08-01
33,Current prices,B64201_SEAS,P6420,Restaurants and coffee shops,,Seasonally adjusted,bar,MONTHLY,08-2005,142.2,2005-08-01
34,Current prices,C64201_SEAS,P6420,Restaurants and coffee shops,,Seasonally adjusted,other,MONTHLY,08-2005,16.4,2005-08-01
35,Current prices,D64201_SEAS,P6420,Restaurants and coffee shops,,Seasonally adjusted,total,MONTHLY,08-2005,1150.5,2005-08-01
36,Current prices,A64203_SEAS,P6420,Take-away and fast food,,Seasonally adjusted,food,MONTHLY,08-2005,451.3,2005-08-01
37,Current prices,B64203_SEAS,P6420,Take-away and fast food,,Seasonally adjusted,bar,MONTHLY,08-2005,1.6,2005-08-01
38,Current prices,C64203_SEAS,P6420,Take-away and fast food,,Seasonally adjusted,other,MONTHLY,08-2005,0.2,2005-08-01
39,Current prices,D64203_SEAS,P6420,Take-away and fast food,,Seasonally adjusted,total,MONTHLY,08-2005,453.1,2005-08-01
40,Current prices,A64209_SEAS,P6420,Catering,,Seasonally adjusted,food,MONTHLY,08-2005,320.9,2005-08-01
41,Current prices,B64209_SEAS,P6420,Catering,,Seasonally adjusted,bar,MONTHLY,08-2005,46.4,2005-08-01
42,Current prices,C64209_SEAS,P6420,Catering,,Seasonally adjusted,other,MONTHLY,08-2005,69.3,2005-08-01
43,Current prices,D64209_SEAS,P6420,Catering,,Seasonally adjusted,total,MONTHLY,08-2005,436.7,2005-08-01
44,Current prices,A64200_SEAS,P6420,Total industry,,Seasonally adjusted,food,MONTHLY,08-2005,1764.2,2005-08-01
45,Current prices,B64200_SEAS,P6420,Total industry,,Seasonally adjusted,bar,MONTHLY,08-2005,190.2,2005-08-01
46,Current prices,C64200_SEAS,P6420,Total industry,,Seasonally adjusted,other,MONTHLY,08-2005,85.9,2005-08-01
47,Current prices,D64200_SEAS,P6420,Total industry,,Seasonally adjusted,total,MONTHLY,08-2005,2040.3,2005-08-01
48,Constant prices,A64201_CON_D11,P6420,Restaurants and coffee shops,2015 = 100,Seasonally adjusted,food,MONTHLY,08-2005,,2005-08-01
49,Constant prices,B64201_CON_D11,P6420,Restaurants and coffee shops,2015 = 100,Seasonally adjusted,bar,MONTHLY,08-2005,,2005-08-01
50,Constant prices,C64201_CON_D11,P6420,Restaurants and coffee shops,2015 = 100,Seasonally adjusted,other,MONTHLY,08-2005,,2005-08-01
51,Constant prices,D64201_CON_D11,P6420,Restaurants and coffee shops,2015 = 100,Seasonally adjusted,total,MONTHLY,08-2005,,2005-08-01
52,Constant prices,A64203_CON_D11,P6420,Take-away and fast food,2015 = 100,Seasonally adjusted,food,MONTHLY,08-2005,,2005-08-01
53,Constant prices,B64203_CON_D11,P6420,Take-away and fast food,2015 = 100,Seasonally adjusted,bar,MONTHLY,08-2005,,2005-08-01
54,Constant prices,C64203_CON_D11,P6420,Take-away and fast food,2015 = 100,Seasonally adjusted,other,MONTHLY,08-2005,,2005-08-01
55,Constant prices,D64203_CON_D11,P6420,Take-away and fast food,2015 = 100,Seasonally adjusted,total,MONTHLY,08-2005,,2005-08-01
56,Constant prices,A64209_CON_D11,P6420,Catering,2015 = 100,Seasonally adjusted,food,MONTHLY,08-2005,,2005-08-01
57,Constant prices,B64209_CON_D11,P6420,Catering,2015 = 100,Seasonally adjusted,bar,MONTHLY,08-2005,,2005-08-01
58,Constant prices,C64209_CON_D11,P6420,Catering,2015 = 100,Seasonally adjusted,other,MONTHLY,08-2005,,2005-08-01
59,Constant prices,D64209_CON_D11,P6420,Catering,2015 = 100,Seasonally adjusted,total,MONTHLY,08-2005,,2005-08-01
60,Constant prices,A64200_CON_D11,P6420,Total industry,2015 = 100,Seasonally adjusted,food,MONTHLY,08-2005,,2005-08-01
61,Constant prices,B64200_CON_D11,P6420,Total industry,2015 = 100,Seasonally adjusted,bar,MONTHLY,08-2005,,2005-08-01
62,Constant prices,C64200_CON_D11,P6420,Total industry,2015 = 100,Seasonally adjusted,other,MONTHLY,08-2005,,2005-08-01
63,Constant prices,D64200_CON_D11,P6420,Total industry,2015 = 100,Seasonally adjusted,total,MONTHLY,08-2005,,2005-08-01
64,Current prices,A64201,P6420,Restaurants and coffee shops,,Actual figures,food,MONTHLY,09-2005,957.7,2005-09-01
65,Current prices,B64201,P6420,Restaurants and coffee shops,,Actual figures,bar,MONTHLY,09-2005,136.6,2005-09-01
66,Current prices,C64201,P6420,Restaurants and coffee shops,,Actual figures,other,MONTHLY,09-2005,11.0,2005-09-01
67,Current prices,D64201,P6420,Restaurants and coffee shops,,Actual figures,total,MONTHLY,09-2005,1105.3,2005-09-01
68,Current prices,A64203,P6420,Take-away and fast food,,Actual figures,food,MONTHLY,09-2005,455.6,2005-09-01
69,Current prices,B64203,P6420,Take-away and fast food,,Actual figures,bar,MONTHLY,09-2005,1.5,2005-09-01
70,Current prices,C64203,P6420,Take-away and fast food,,Actual figures,other,MONTHLY,09-2005,0.3,2005-09-01
71,Current prices,D64203,P6420,Take-away and fast food,,Actual figures,total,MONTHLY,09-2005,457.4,2005-09-01
72,Current prices,A64209,P6420,Catering,,Actual figures,food,MONTHLY,09-2005,360.6,2005-09-01
73,Current prices,B64209,P6420,Catering,,Actual figures,bar,MONTHLY,09-2005,43.9,2005-09-01
74,Current prices,C64209,P6420,Catering,,Actual figures,other,MONTHLY,09-2005,90.7,2005-09-01
75,Current prices,D64209,P6420,Catering,,Actual figures,total,MONTHLY,09-2005,495.2,2005-09-01
76,Current prices,A64200,P6420,Total industry,,Actual figures,food,MONTHLY,09-2005,1773.9,2005-09-01
